0,1,2,3
0.999863,5.5957666e-05,4.7350688e-05,3.363204e-05
0.99948955,0.0001921599,0.00021831458,9.997706e-05
0.998607,0.00041873456,0.000702524,0.00027180073
3.1710435e-05,0.0025197424,0.99494594,0.0025026265
6.4075874e-07,0.00015742886,0.99916065,0.00068137026
9.535555e-08,2.6247812e-05,0.99947745,0.00049623597
2.5526267e-08,6.1932874e-06,0.9994765,0.00051735755
1.6185462e-07,1.560201e-05,0.99791235,0.0020719022
1.5114355e-07,1.4752986e-05,0.99805105,0.0019340361
2.647453e-07,4.118747e-05,0.9990308,0.00092774205
7.645942e-07,6.426003e-05,0.99901235,0.0009226854
2.1355874e-05,0.00032470745,0.99769956,0.0019543043
0.0003880403,0.79241383,0.017799394,0.18939868
0.00011953336,0.40586293,0.00097202044,0.59304553
8.815172e-05,0.91364205,0.00086558703,0.085404195
8.0435646e-05,0.9394882,0.0007101015,0.05972129
4.3300657e-05,0.98783374,0.0007321098,0.011390816
3.6779267e-05,0.99167,0.0007527787,0.0075404616
3.486865e-05,0.99247664,0.00073025277,0.006758282
3.749978e-05,0.9912437,0.0007762739,0.007942487
4.015748e-05,0.9892329,0.0007167326,0.01001024
3.7067734e-05,0.9917042,0.00077076565,0.007487904
4.2342606e-05,0.99000496,0.00082879676,0.009123962
4.2492647e-05,0.98956513,0.00085176376,0.009540525
4.080074e-05,0.9909093,0.0007981066,0.008251767
4.0921994e-05,0.98991245,0.00079944404,0.009247254
5.0912324e-05,0.9811999,0.0007918519,0.017957348
5.1030507e-05,0.97657734,0.0006817202,0.022689952
4.7587328e-05,0.9802971,0.0006917867,0.018963585
5.165998e-05,0.97800076,0.00070559845,0.021241952
7.0235306e-05,0.95568043,0.00074593705,0.04350341
7.135483e-05,0.9676958,0.0008748102,0.031358037
0.00012299429,0.90793806,0.0012101165,0.09072873
0.00016328134,0.9483902,0.0034383072,0.048008222
1.3371326e-05,0.005608653,0.9903582,0.004019867
4.411979e-07,9.113395e-05,0.99911493,0.0007934454
9.835829e-08,2.3816096e-05,0.9994035,0.00057254813
2.3965045e-08,3.770242e-06,0.9995609,0.0004352914
1.0545651e-07,2.5482064e-05,0.9991887,0.0007857301
8.4917286e-07,6.384161e-05,0.9990181,0.0009171995
9.83989e-06,0.000294852,0.99795926,0.0017360413
0.00022629018,0.9188649,0.0071890424,0.07371972
7.232057e-05,0.97767,0.0013863487,0.020871356
5.0141396e-05,0.9856198,0.0007799247,0.013550164
3.8224054e-05,0.9898722,0.00066096504,0.009428578
3.2038784e-05,0.99389315,0.0007882187,0.0052866004
3.6493006e-05,0.99288964,0.00081795984,0.006255841
3.5541725e-05,0.99215865,0.0007141812,0.0070916787
3.4142344e-05,0.99186325,0.0007055618,0.00739709
3.4126824e-05,0.99198556,0.00065579003,0.0073244907
3.5877467e-05,0.9922019,0.00074179267,0.0070204157
3.330036e-05,0.9932981,0.00074638875,0.005922205
3.3112035e-05,0.9935939,0.0008261597,0.0055468525
3.144135e-05,0.9942081,0.00079921563,0.0049611847
3.2130945e-05,0.99407876,0.0007894328,0.0050997064
3.5868074e-05,0.99250704,0.0008627878,0.0065943715
3.720016e-05,0.99192303,0.00075743574,0.00728233
3.9553623e-05,0.9898469,0.00074159226,0.009372007
3.8680806e-05,0.99087954,0.0008043475,0.008277394
4.5131263e-05,0.9878391,0.00075510284,0.011360692
3.814613e-05,0.9907431,0.00075297506,0.008465809
3.1489963e-05,0.99356925,0.0007331995,0.005666054
3.1171174e-05,0.9938361,0.0007642876,0.005368458
2.938107e-05,0.99440587,0.00074796507,0.004816706
3.102383e-05,0.9936625,0.00078568846,0.005520736
3.446831e-05,0.99307054,0.00079427485,0.0061006825
3.4904166e-05,0.9917949,0.00071578735,0.007454479
4.0353483e-05,0.98987514,0.0007827973,0.0093017025
3.9794882e-05,0.9896415,0.0007351933,0.009583576
4.3035943e-05,0.9902739,0.0008026103,0.008880486
5.0032566e-05,0.98514867,0.0008220386,0.01397921
4.5044664e-05,0.9845775,0.00072441646,0.01465299
4.8435086e-05,0.98132956,0.0007535859,0.017868474
4.5784833e-05,0.9821842,0.0007061738,0.017063903
4.41582e-05,0.98712033,0.00070924516,0.01212631
4.2802123e-05,0.98788315,0.0007092161,0.011364791
3.931649e-05,0.9906917,0.0008006035,0.00846834
3.56778e-05,0.9918492,0.0007309449,0.0073841573
