epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4416111707687378,0.00019999999494757503,1.9908961057662964,0.6805437803268433,1.5713908672332764
1,0.6600617170333862,0.00019999999494757503,1.5196112394332886,0.730671226978302,1.4723246097564697
2,0.7185317277908325,0.00019999999494757503,1.4028193950653076,0.7621070742607117,1.3716102838516235
3,0.7515023350715637,0.00019999999494757503,1.3330506086349487,0.7731520533561707,1.2879749536514282
4,0.7802501320838928,0.00019999999494757503,1.2750872373580933,0.7892948389053345,1.2046109437942505
5,0.7968166470527649,0.00019999999494757503,1.2328709363937378,0.8105352520942688,1.177529215812683
6,0.8041253685951233,0.00019999999494757503,1.1979345083236694,0.8079863786697388,1.1674928665161133
7,0.8197174072265625,0.00019999999494757503,1.1633528470993042,0.8258283734321594,1.1225461959838867
8,0.8323858976364136,0.00019999999494757503,1.1397125720977783,0.83857262134552,1.0780647993087769
9,0.8380705118179321,0.00019999999494757503,1.1077725887298584,0.8419710993766785,1.0708439350128174
10,0.8461913466453552,0.00019999999494757503,1.08921480178833,0.84112149477005,1.0764740705490112
11,0.8491148352622986,0.00019999999494757503,1.072695255279541,0.8479184508323669,1.039993166923523
12,0.8590222597122192,0.00019999999494757503,1.042637586593628,0.8462191820144653,1.030355453491211
13,0.8703914284706116,0.00019999999494757503,1.0161627531051636,0.8632115721702576,0.9942958950996399
14,0.8837096095085144,0.00019999999494757503,0.9844551086425781,0.8530161380767822,1.0187565088272095
15,0.886145830154419,0.00019999999494757503,0.9707225561141968,0.8683092594146729,0.994371771812439
16,0.885983407497406,0.00019999999494757503,0.9595168828964233,0.8657603859901428,0.976523220539093
17,0.8994640111923218,0.00019999999494757503,0.9294154047966003,0.8810535073280334,0.9450111389160156
18,0.9015754461288452,0.00019999999494757503,0.9230912327766418,0.8810535073280334,0.9581226110458374
19,0.9051486253738403,0.00019999999494757503,0.9050479531288147,0.8632115721702576,0.9896038174629211
