epoch,accuracy,loss,val_accuracy,val_loss
0,0.5318034291267395,0.8469347953796387,0.46246764063835144,0.8559436798095703
1,0.7443197965621948,0.4367614984512329,0.6233822107315063,2.555372476577759
2,0.8747793436050415,0.24587005376815796,0.48144951462745667,1.1489953994750977
3,0.8975001573562622,0.20347321033477783,0.8481449484825134,0.24010053277015686
4,0.9103126525878906,0.18042758107185364,0.4762726426124573,0.8556344509124756
5,0.9194806814193726,0.16181573271751404,0.8075927495956421,0.29648125171661377
6,0.9238653779029846,0.15536893904209137,0.3947368562221527,1.5853729248046875
7,0.9355959296226501,0.1381901651620865,0.33563417196273804,3.5394973754882812
8,0.9427139759063721,0.12198036164045334,0.9257981181144714,0.12171554565429688
9,0.9440236687660217,0.1211937814950943,0.8912855982780457,0.1377466917037964
10,0.943795919418335,0.11780983209609985,0.9249352812767029,0.11427051573991776
11,0.9477250576019287,0.11442872881889343,0.903796374797821,0.13999547064304352
12,0.9475542306900024,0.11503782868385315,0.4754098355770111,1.3986414670944214
13,0.9502875804901123,0.110999196767807,0.9365832805633545,0.098459392786026
14,0.9513695240020752,0.10653853416442871,0.9396030902862549,0.09509862214326859
15,0.9504014849662781,0.10912129282951355,0.8925797939300537,0.13727302849292755
16,0.955868124961853,0.10070198774337769,0.9443485736846924,0.09047656506299973
17,0.955868124961853,0.10065873712301254,0.863675594329834,0.20388367772102356
18,0.9552417397499084,0.09839465469121933,0.9240725040435791,0.13067327439785004
19,0.957234799861908,0.09626611322164536,0.9421915411949158,0.09946873784065247
