epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6038188934326172,0.0005000000237487257,0.8942753076553345,0.65234375,0.6849743127822876
1,0.7725220322608948,0.0005000000237487257,0.5821130275726318,0.6950954794883728,0.5641276836395264
2,0.8492316603660583,0.0005000000237487257,0.4814132750034332,0.8220486044883728,0.5213975310325623
3,0.8964503407478333,0.0005000000237487257,0.4170936644077301,0.8569878339767456,0.4176536798477173
4,0.9132253527641296,0.0005000000237487257,0.37483447790145874,0.8567708134651184,0.431538462638855
5,0.9344737529754639,0.0005000000237487257,0.3315202295780182,0.8342013955116272,0.438109815120697
6,0.9431304931640625,0.0005000000237487257,0.30065420269966125,0.8630642294883728,0.3966503441333771
7,0.9537754058837891,0.0005000000237487257,0.2697712779045105,0.8355034589767456,0.3910464942455292
8,0.9633434414863586,0.0005000000237487257,0.24481794238090515,0.8383246660232544,0.3884647786617279
9,0.9641304016113281,0.0005000000237487257,0.225783571600914,0.8441840410232544,0.43740248680114746
10,0.9669883847236633,0.0005000000237487257,0.20696383714675903,0.8292100429534912,0.5087447762489319
11,0.9716687798500061,0.0005000000237487257,0.18479201197624207,0.8435329794883728,0.35915887355804443
12,0.9771776795387268,0.0005000000237487257,0.1678999662399292,0.78515625,0.5264526605606079
13,0.9751066565513611,0.0005000000237487257,0.15811419486999512,0.8079426884651184,0.43949559330940247
14,0.9791243672370911,0.0005000000237487257,0.1436566263437271,0.7931857705116272,0.5897152423858643
15,0.9861657619476318,0.0002500000118743628,0.1277402639389038,0.7810329794883728,0.5722016096115112
16,0.9862486124038696,0.0002500000118743628,0.1232139989733696,0.8083767294883728,0.5785942673683167
17,0.9879468083381653,0.0002500000118743628,0.11630969494581223,0.8044704794883728,0.5921396017074585
