epoch,accuracy,loss,val_accuracy,val_loss
0,0.6925004124641418,0.541280210018158,0.41285592317581177,1.2975988388061523
1,0.8870223760604858,0.23248788714408875,0.43744608759880066,1.2835646867752075
2,0.9108251333236694,0.18389837443828583,0.4270923137664795,1.467734456062317
3,0.9213598370552063,0.16494548320770264,0.8874029517173767,0.2120787799358368
4,0.9323500990867615,0.1414659172296524,0.9163071513175964,0.12163083255290985
5,0.9403222799301147,0.12589028477668762,0.9452114105224609,0.09587886184453964
6,0.9450486898422241,0.11751019209623337,0.8464193344116211,0.27657023072242737
7,0.9493195414543152,0.11037194728851318,0.9145815372467041,0.1773054003715515
8,0.9510847926139832,0.10830255597829819,0.47152718901634216,1.600557565689087
9,0.9474403262138367,0.112345851957798,0.9426229596138,0.09363142400979996
10,0.9559250473976135,0.09549537301063538,0.6419327259063721,2.0599634647369385
11,0.9563236832618713,0.09845979511737823,0.9292493462562561,0.09555558115243912
12,0.9608792066574097,0.08752664178609848,0.48446938395500183,1.4605573415756226
13,0.959968090057373,0.088124580681324,0.8813632726669312,0.11841365694999695
