epoch,accuracy,loss,val_accuracy,val_loss
0,0.7512670159339905,0.4540673494338989,0.8403796553611755,0.19635026156902313
1,0.8742668628692627,0.21438349783420563,0.8671268224716187,0.1598062366247177
2,0.907066822052002,0.16272465884685516,0.9063848257064819,0.10575886070728302
3,0.9167473316192627,0.14036738872528076,0.893011212348938,0.11663644760847092
4,0.9236376285552979,0.12430882453918457,0.9059534072875977,0.1014702245593071
5,0.9292750954627991,0.11687187105417252,0.9085418581962585,0.09400680661201477
6,0.934343159198761,0.10561544448137283,0.918464183807373,0.08731255680322647
7,0.934343159198761,0.10442978143692017,0.9232096672058105,0.09287802129983902
8,0.9395250678062439,0.09459033608436584,0.9201897978782654,0.08137865364551544
9,0.9391264915466309,0.09183719754219055,0.9176014065742493,0.08232075721025467
10,0.9452195167541504,0.09009115397930145,0.9236410856246948,0.09842447191476822
11,0.9439098238945007,0.0919710248708725,0.9322692155838013,0.07916539907455444
12,0.9457889795303345,0.08737286180257797,0.9188956022262573,0.08601732552051544
13,0.9497181177139282,0.08629265427589417,0.9081104397773743,0.107154481112957
14,0.9503445029258728,0.08226827532052994,0.9426229596138,0.06679019331932068
15,0.9521098136901855,0.08253222703933716,0.9240725040435791,0.07691748440265656
16,0.9521098136901855,0.0753576010465622,0.9288179278373718,0.07428067922592163
17,0.9541597962379456,0.07843276858329773,0.9210526347160339,0.07613587379455566
18,0.9557542204856873,0.07253754138946533,0.9305436015129089,0.08243311941623688
19,0.9575764536857605,0.06651656329631805,0.9391716718673706,0.06729056686162949
20,0.9620750546455383,0.06204482167959213,0.9495254755020142,0.05968181788921356
21,0.9639542102813721,0.059384535998106,0.9490940570831299,0.06441761553287506
22,0.9620750546455383,0.061478082090616226,0.9408973455429077,0.06326080858707428
23,0.9644097685813904,0.05732123926281929,0.9499568343162537,0.056498561054468155
24,0.9645236730575562,0.0574168898165226,0.9482312202453613,0.0600489042699337
25,0.9666305780410767,0.055316727608442307,0.946505606174469,0.057200849056243896
26,0.965605616569519,0.05716643109917641,0.9542708992958069,0.06187044829130173
27,0.9678833484649658,0.05351748690009117,0.9503882527351379,0.05967722833156586
28,0.9696486592292786,0.05054786801338196,0.9521138668060303,0.05809728801250458
29,0.9719264507293701,0.04519538953900337,0.9551337361335754,0.0616915225982666
