epoch,accuracy,loss,val_accuracy,val_loss
0,0.8357810974121094,0.3418698310852051,0.3315950036048889,3.4673612117767334
1,0.9351674914360046,0.17514707148075104,0.3413889706134796,3.712057590484619
2,0.950843334197998,0.14111864566802979,0.720936119556427,0.3744319677352905
3,0.9552358984947205,0.12245701998472214,0.5993385910987854,0.8457018136978149
4,0.9555879831314087,0.11151180416345596,0.5380310416221619,0.9926087260246277
5,0.958488404750824,0.10049714893102646,0.8833630084991455,0.30985575914382935
6,0.9618080258369446,0.08918577432632446,0.9447977542877197,0.08373511582612991
7,0.9629480838775635,0.08004017919301987,0.9356397986412048,0.09565234929323196
8,0.964691698551178,0.0737973004579544,0.9067667126655579,0.15274076163768768
9,0.9659491181373596,0.06716849654912949,0.7841516137123108,0.645147442817688
10,0.9692016243934631,0.06011273339390755,0.9422538876533508,0.07544543594121933
11,0.9705093502998352,0.05594267696142197,0.8726786971092224,0.13994497060775757
12,0.9713308811187744,0.053519733250141144,0.954591691493988,0.05390496924519539
13,0.972521185874939,0.049393437802791595,0.9392012357711792,0.07550705969333649
14,0.9749689698219299,0.046832792460918427,0.8974815607070923,0.160042405128479
15,0.9770982265472412,0.043774038553237915,0.8813279271125793,0.28801295161247253
16,0.9807866215705872,0.041597407311201096,0.964512825012207,0.0653061717748642
17,0.9825302362442017,0.039812877774238586,0.9769778847694397,0.052407000213861465
18,0.9842739105224609,0.038075078278779984,0.9807937145233154,0.04636796936392784
19,0.9856318831443787,0.03726775571703911,0.9805393218994141,0.044686365872621536
