epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5400357246398926,0.00019999999494757503,1.6783102750778198,0.7060322761535645,1.3063617944717407
1,0.6636348962783813,0.00019999999494757503,1.3820984363555908,0.7544605135917664,1.233294129371643
2,0.7165827751159668,0.00019999999494757503,1.279485821723938,0.7782498002052307,1.1784310340881348
3,0.7466298341751099,0.00019999999494757503,1.2283987998962402,0.7867459654808044,1.1147058010101318
4,0.7657950520515442,0.00019999999494757503,1.166574478149414,0.7960917353630066,1.0789990425109863
5,0.7878836989402771,0.00019999999494757503,1.1369503736495972,0.8020390868186951,1.0644248723983765
6,0.8067240715026855,0.00019999999494757503,1.0959283113479614,0.8003398180007935,1.0415680408477783
7,0.8190677165985107,0.00019999999494757503,1.0707648992538452,0.8292268514633179,0.9962034821510315
8,0.822153627872467,0.00019999999494757503,1.049373745918274,0.8300764560699463,0.9808954000473022
9,0.8270261287689209,0.00019999999494757503,1.033124327659607,0.8530161380767822,0.966278076171875
10,0.84343022108078,0.00019999999494757503,1.0012001991271973,0.84112149477005,0.9660033583641052
11,0.8364463448524475,0.00019999999494757503,0.9971166849136353,0.8445199728012085,0.9548513889312744
12,0.8549618124961853,0.00019999999494757503,0.9640546441078186,0.8428207039833069,0.9622952938079834
13,0.8622705936431885,0.00019999999494757503,0.9399757981300354,0.864061176776886,0.918532133102417
14,0.8690921068191528,0.00019999999494757503,0.924374520778656,0.8700084686279297,0.9123592972755432
15,0.8712034821510315,0.00019999999494757503,0.9169062972068787,0.8708581328392029,0.8991190791130066
16,0.8773753643035889,0.00019999999494757503,0.9068320393562317,0.8742566108703613,0.9098979234695435
17,0.8786746859550476,0.00019999999494757503,0.88968825340271,0.8572642207145691,0.9088073372840881
18,0.8867955207824707,0.00019999999494757503,0.8766595125198364,0.8742566108703613,0.8780230283737183
19,0.8911807537078857,0.00019999999494757503,0.8554128408432007,0.8827527761459351,0.8793603181838989
